category,url,finalUrl,status,ok,lang,rawTokens,stateTokens,saved,chunks,blocks,facts,dateFound,dateSource,anchorsWithId,keptShare,warnings,dropped,ms,glued
"news-en","https://www.bbc.co.uk/news/articles/cqp80p78mxx5o?at_medium=RSS&amp;at_campaign=rss","https://www.bbc.co.uk/news/articles/cqp80p78mxx5o?at_medium=RSS&amp;at_campaign=rss","200","true","en-GB","146460","1139","0.9922","1","38","1","true","json-ld","0","0.499","","313","1011","3"
"news-en","https://www.bbc.co.uk/news/articles/cw4gm7l742dmo?at_medium=RSS&amp;at_campaign=rss","https://www.bbc.co.uk/news/articles/cw4gm7l742dmo?at_medium=RSS&amp;at_campaign=rss","200","true","en-GB","151381","1438","0.9905","1","31","0","true","json-ld","0","0.533","","341","571","0"
"news-en","https://www.bbc.co.uk/news/articles/cqzrz0z4plk1o?at_medium=RSS&amp;at_campaign=rss","https://www.bbc.co.uk/news/articles/cqzrz0z4plk1o?at_medium=RSS&amp;at_campaign=rss","200","true","en-GB","144185","1403","0.9903","1","54","2","true","json-ld","1","0.551","","315","523","0"
"news-en","https://arstechnica.com/gadgets/2026/09/apple-m6-mac-mini-review-300-price-hike-spoils-a-nice-upgrade/","https://arstechnica.com/gadgets/2026/09/apple-m6-mac-mini-review-300-price-hike-spoils-a-nice-upgrade/","405","false","en","820","2","0.9976","0","0","0","false","","0","0.000","blocked","9","1108","0"
"news-en","https://arstechnica.com/gadgets/2026/09/googlebook-laptops-launch-october-4-starting-at-899-preorders-for-five-models-live-today/","https://arstechnica.com/gadgets/2026/09/googlebook-laptops-launch-october-4-starting-at-899-preorders-for-five-models-live-today/","405","false","en","828","2","0.9976","0","0","0","false","","0","0.000","blocked","9","336","0"
"news-en","https://www.theguardian.com/us-news/ng-interactive/2026/sep/21/trump-deportation-deals","https://www.theguardian.com/us-news/ng-interactive/2026/sep/21/trump-deportation-deals","200","true","en","148909","5355","0.9640","1","115","10","true","json-ld","1","0.895","","192","974","0"
"news-en","https://www.theguardian.com/us-news/2026/sep/18/us-men-deported-hotel-equatorial-guinea","https://www.theguardian.com/us-news/2026/sep/18/us-men-deported-hotel-equatorial-guinea","200","true","en","111273","1517","0.9864","1","25","3","true","json-ld","1","0.752","","173","477","0"
"news-ru","https://lenta.ru/news/2026/09/21/brazilskaya-legenda-tsska-zagovoril-na-russkom/","https://lenta.ru/news/2026/09/21/brazilskaya-legenda-tsska-zagovoril-na-russkom/","200","true","ru","17155","274","0.9840","1","6","0","true","json-ld","0","0.290","thin-content","188","888","0"
"news-ru","https://lenta.ru/news/2026/09/21/evropeyskie-lidery-zahoteli-ugovorit-trampa-pomoch-ukraine/","https://lenta.ru/news/2026/09/21/evropeyskie-lidery-zahoteli-ugovorit-trampa-pomoch-ukraine/","200","true","ru","15907","263","0.9835","1","6","0","true","json-ld","0","0.365","","172","810","0"
"news-ru","https://lenta.ru/news/2026/09/21/es-priblizilsya-k-snyatiyu-sanktsiy-protiv-dvuh-rossiyskih-milliarderov/","https://lenta.ru/news/2026/09/21/es-priblizilsya-k-snyatiyu-sanktsiy-protiv-dvuh-rossiyskih-milliarderov/","200","true","ru","17144","502","0.9707","1","7","0","true","json-ld","0","0.477","","190","728","0"
"news-ru","https://ria.ru/20260921/vybory-2119341298.html","https://ria.ru/20260921/vybory-2119341298.html","200","true","ru","43638","237","0.9946","1","24","3","true","json-ld","0","0.129","fallback-extractor|thin-content","512","2090","0"
"news-ru","https://ria.ru/20260921/er--2119341091.html","https://ria.ru/20260921/er--2119341091.html","200","true","ru","44137","286","0.9935","1","25","6","true","json-ld","0","0.136","fallback-extractor|thin-content","516","1789","0"
"news-he","https://www.ynet.co.il/news/article/hkmixl6kme","https://www.ynet.co.il/news/article/hkmixl6kme","200","true","he","43855","1008","0.9770","1","15","0","true","json-ld","1","0.674","","247","819","0"
"news-he","https://www.ynet.co.il/news/article/ryddbiatfx","https://www.ynet.co.il/news/article/ryddbiatfx","200","true","he","35625","225","0.9937","1","3","0","true","json-ld","0","0.348","thin-content","237","569","0"
"news-de","https://www.spiegel.de/wirtschaft/soziales/berlin-wahl-wie-die-linke-enteignungen-grosser-wohnungskonzerne-durchsetzen-will-a-86c4cd9d-cff6-44b0-bbd7-fd1f4f07ffbf#ref=rss","https://www.spiegel.de/wirtschaft/soziales/berlin-wahl-wie-die-linke-enteignungen-grosser-wohnungskonzerne-durchsetzen-will-a-86c4cd9d-cff6-44b0-bbd7-fd1f4f07ffbf","200","true","de","238194","115","0.9995","1","4","0","true","json-ld","0","0.096","paywall","214","1539","0"
"news-de","https://www.spiegel.de/kultur/kino/sylvester-stallone-lehnte-donald-trumps-sonderbotschafter-idee-ab-trump-benannte-ihn-trotzdem-a-5b5c1fc6-7636-4cc3-83ff-a09d97382271#ref=rss","https://www.spiegel.de/kultur/kino/sylvester-stallone-lehnte-donald-trumps-sonderbotschafter-idee-ab-trump-benannte-ihn-trotzdem-a-5b5c1fc6-7636-4cc3-83ff-a09d97382271","200","true","de","237973","942","0.9960","1","19","0","true","json-ld","0","0.585","","231","747","0"
"news-fr","https://www.lemonde.fr/international/article/2026/09/21/friedrich-merz-tres-fragilise-defend-le-maintien-de-son-gouvernement-pour-l-avenir-democratique-de-l-allemagne_6779165_3210.html","https://www.lemonde.fr/international/article/2026/09/21/friedrich-merz-tres-fragilise-defend-le-maintien-de-son-gouvernement-pour-l-avenir-democratique-de-l-allemagne_6779165_3210.html","200","true","fr","135052","1025","0.9924","1","12","5","true","json-ld","0","0.264","paywall","1001","1220","7"
